"","farm","plot","subplot","time","sampler","method","depth","tsip_qr","mukey","area_ac","areasymbol","musym","muname","dbovendry_r","claytotal_r","x","y"
"1","BT",1,"A",NA,"Jenna","Core",15,"BBCD042570",295987,1.01343698924129e-07,"NY115","NAC","Nassau shaly silt loam, undulating through hilly",1.350333,14.7,-73.43483097,43.10808539
"2","BT",1,"A",NA,"Jenna","Auger",15,"BBCD047874",295987,1.01343698924129e-07,"NY115","NAC","Nassau shaly silt loam, undulating through hilly",1.350333,14.7,-73.43483097,43.10808539
"3","BT",1,"A",146,"Jenna","Core",30,"BBCD042566",295987,1.01343698924129e-07,"NY115","NAC","Nassau shaly silt loam, undulating through hilly",1.350333,14.7,-73.43483097,43.10808539
"4","BT",1,"A",70,"Jenna","Auger",30,"BBCD047875",295987,1.01343698924129e-07,"NY115","NAC","Nassau shaly silt loam, undulating through hilly",1.350333,14.7,-73.43483097,43.10808539
"5","BT",1,"B",NA,"Ben","Core",15,"BBCD042521",295987,1.01343698924129e-07,"NY115","NAC","Nassau shaly silt loam, undulating through hilly",1.350333,14.7,-73.43473731,43.10805006
"6","BT",1,"B",NA,"Ben","Auger",15,"BBCD047873",295987,1.01343698924129e-07,"NY115","NAC","Nassau shaly silt loam, undulating through hilly",1.350333,14.7,-73.43473731,43.10805006
"7","BT",1,"B",1.06,"Ben","Core",30,"BBCD042568",295987,1.01343698924129e-07,"NY115","NAC","Nassau shaly silt loam, undulating through hilly",1.350333,14.7,-73.43473731,43.10805006
"8","BT",1,"B",50,"Ben","Auger",30,"BBCD047876",295987,1.01343698924129e-07,"NY115","NAC","Nassau shaly silt loam, undulating through hilly",1.350333,14.7,-73.43473731,43.10805006
"9","BT",2,"A",NA,"Campbell","Core",15,"BBCD042567",295987,1.01343698924129e-07,"NY115","NAC","Nassau shaly silt loam, undulating through hilly",1.350333,14.7,-73.43453019,43.1073767
"10","BT",2,"A",NA,"Campbell","Auger",15,"BBCD047866",295987,1.01343698924129e-07,"NY115","NAC","Nassau shaly silt loam, undulating through hilly",1.350333,14.7,-73.43453019,43.1073767
"11","BT",2,"A",120,"Campbell","Core",30,"BBCD042565",295987,1.01343698924129e-07,"NY115","NAC","Nassau shaly silt loam, undulating through hilly",1.350333,14.7,-73.43453019,43.1073767
"12","BT",2,"A",27,"Campbell","Auger",30,"BBCD047872",295987,1.01343698924129e-07,"NY115","NAC","Nassau shaly silt loam, undulating through hilly",1.350333,14.7,-73.43453019,43.1073767
"13","BT",2,"B",NA,"Abby","Core",15,"BBCD042564",295987,1.01343698924129e-07,"NY115","NAC","Nassau shaly silt loam, undulating through hilly",1.350333,14.7,-73.4344452,43.10739615
"14","BT",2,"B",NA,"Abby","Auger",15,"BBCD047867",295987,1.01343698924129e-07,"NY115","NAC","Nassau shaly silt loam, undulating through hilly",1.350333,14.7,-73.4344452,43.10739615
"15","BT",2,"B",1.37,"Abby","Core",30,"BBCD042563",295987,1.01343698924129e-07,"NY115","NAC","Nassau shaly silt loam, undulating through hilly",1.350333,14.7,-73.4344452,43.10739615
"16","BT",2,"B",57,"Abby","Auger",30,"BBCD047868",295987,1.01343698924129e-07,"NY115","NAC","Nassau shaly silt loam, undulating through hilly",1.350333,14.7,-73.4344452,43.10739615
"17","BT",3,"A",NA,"Campbell","Core",15,"BBCD044421",295987,1.01343698924129e-07,"NY115","NAC","Nassau shaly silt loam, undulating through hilly",1.350333,14.7,-73.43516422,43.1071186
"18","BT",3,"A",NA,"Campbell","Auger",15,"BBCD047869",295987,1.01343698924129e-07,"NY115","NAC","Nassau shaly silt loam, undulating through hilly",1.350333,14.7,-73.43516422,43.1071186
